Keuwl Accelerometer Data File
2019-06-26 17-29-22

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8493500,4.948815,8.522161,0.001197,9.854846,89.993042,59.856285
0.8594100,4.948815,8.518570,0.004788,9.851742,89.972153,59.845795
0.8693280,4.963180,8.487445,0.025139,9.832116,89.853500,59.682301
0.8800470,4.981137,8.506598,0.027533,9.857722,89.839966,59.648403
0.8893799,4.979939,8.514978,0.023942,9.864342,89.860939,59.678997
0.8995690,4.983531,8.506598,-0.010774,9.858900,90.062614,59.636395
0.9095300,4.989516,8.497022,-0.022745,9.853688,90.132256,59.578217
0.9193810,4.965574,8.516175,0.009577,9.858107,89.944336,59.754581
0.9295430,4.938041,8.529344,0.002394,9.855657,89.986084,59.931416
0.9398000,4.942830,8.550891,-0.016759,9.876719,90.097221,59.970005
0.9497650,4.951209,8.549694,-0.044293,9.879965,90.256866,59.924461
0.9603950,4.953603,8.519767,-0.070629,9.855435,90.410614,59.825222
0.9693429,4.920084,8.498219,-0.068235,9.819960,90.398125,59.931099
0.9794050,4.923676,8.483853,-0.049081,9.809218,90.286682,59.870899
0.9900129,4.933253,8.491036,-0.037110,9.820187,90.216522,59.843613
0.9999210,4.928464,8.517372,-0.021548,9.840521,90.125458,59.944748
1.0109900,4.939238,8.548497,-0.067038,9.873063,90.389038,59.981098
1.0194260,4.939238,8.548497,-0.067038,9.873063,90.389038,59.981098
1.0293880,4.990714,8.538920,-0.025139,9.890451,90.145630,59.695141
1.0394469,5.051765,8.661025,-0.041899,10.026736,90.239418,59.746029
1.0493810,4.896142,8.415619,-0.041899,9.736355,90.246559,59.809483
1.0610600,5.024232,8.752005,0.019154,10.091623,89.891251,60.141312
1.0694480,5.056554,8.741230,0.053870,10.098552,89.694359,59.951836
1.0796081,4.993108,8.497022,0.017957,9.855497,89.895607,59.560211
1.0894960,4.965574,8.250419,-0.052672,9.629596,90.313400,58.958065
1.0994450,5.091270,8.376115,-0.100556,9.802573,90.587761,58.707432
1.1096419,5.291186,8.791509,-0.117316,10.261629,90.655045,58.958290
1.1194659,4.735731,7.747637,-0.225055,9.083154,91.419777,58.564705
1.1293579,5.313931,8.792706,-0.229843,10.276300,91.281601,58.853054
1.1393809,4.741716,7.852982,-0.342371,9.179892,92.137383,58.875961
1.1493739,4.707001,7.947553,-0.374693,9.244450,92.322929,59.363529
1.1596401,5.020641,8.565256,-0.282516,9.932283,91.629951,59.622723
1.1693380,4.977545,8.508993,-0.108936,9.858539,90.633125,59.673447
1.1794189,4.915296,8.324639,0.033519,9.667517,89.801346,59.440208
1.1895640,4.954801,8.297106,0.144849,9.665040,89.141281,59.155529
1.1996319,5.075707,8.409634,0.177171,9.824263,88.966667,58.886555
1.2105960,5.195418,8.564059,0.150835,10.017896,89.137291,58.756752
1.2196530,5.263652,8.704121,0.069432,10.172147,89.608917,58.837341
1.2293810,5.299565,8.784326,0.040701,10.259212,89.772690,58.897507
1.2394450,5.319916,8.719683,-0.015562,10.214432,90.087296,58.612453
1.2493449,5.249287,8.518570,0.020351,10.006071,89.883469,58.357922
1.2601399,5.125986,8.282741,0.101754,9.741143,89.401489,58.247646
1.2693470,5.092467,8.188169,0.161609,9.643933,89.039818,58.121288
1.2797149,5.184644,8.356961,0.119710,9.835327,89.302612,58.184612
1.2895229,5.341464,8.672996,-0.032322,10.185928,90.181808,58.372204
1.2997530,5.397728,8.826224,-0.215478,10.348146,91.193146,58.551891
1.3095740,5.195418,8.518570,-0.367510,9.984661,92.109390,58.621269
1.3195530,4.898537,7.937976,-0.409408,9.336741,92.513176,58.321201
1.3295510,4.892551,7.835025,-0.293290,9.241791,91.818596,58.017445
1.3397400,5.075707,8.134300,-0.138864,9.589000,90.829758,58.036324
1.3493350,5.222951,8.438364,-0.040701,9.924054,90.234985,58.244438
1.3595580,5.184644,8.374918,-0.112527,9.850505,90.654533,58.239674
1.3695381,4.811148,7.735666,-0.254982,9.113325,91.603294,58.120716
1.3796829,5.261258,8.525752,-0.292093,10.022704,91.670013,58.321182
1.3900479,5.160702,8.374918,-0.338780,9.843113,91.972389,58.358242
1.3995199,5.015852,8.139089,-0.375890,9.567906,92.251534,58.355839
1.4096140,5.111620,8.261193,-0.278924,9.718733,91.644600,58.252811
1.4195199,5.200206,8.376115,-0.199916,9.861106,91.161644,58.166439
1.4294950,5.243302,8.447941,-0.196325,9.944771,91.131180,58.173767
1.4400240,5.164293,8.347384,-0.243011,9.818748,91.418198,58.256081
1.4493810,5.109226,8.304289,-0.356736,9.756673,92.095390,58.398029
1.4594520,5.342661,8.704121,-0.349553,10.218998,91.960258,58.458054
1.4693780,5.177461,8.457518,-0.338780,9.922221,91.956657,58.526173
1.4796330,5.197812,8.566454,-0.305261,10.024698,91.744972,58.752151
1.4894179,5.215768,8.421604,-0.168791,9.907378,90.976189,58.228745
1.4995689,5.269638,8.277952,-0.069432,9.813175,90.405396,57.519695
1.5094649,5.336676,8.419210,0.010774,9.968115,89.938072,57.630661
1.5194539,5.336676,8.445546,-0.044293,9.990461,90.254021,57.711521
1.5294690,5.284003,8.456321,-0.142455,9.972480,90.818489,58.000450
1.5403780,5.155913,8.249222,-0.149638,9.729106,90.881264,57.993870
1.5493680,5.353435,8.585608,-0.108936,10.118487,90.616859,58.054977
1.5596319,5.328296,8.532935,-0.132878,10.060784,90.756760,58.017746
1.5693690,5.298368,8.482656,-0.172383,10.002893,90.987442,58.010609
1.5795630,5.287594,8.361750,-0.228646,9.895948,91.323936,57.692581
1.5894850,5.064934,8.031349,-0.161609,9.496433,90.975098,57.762608
1.5994760,5.286397,8.471883,-0.108936,9.986524,90.625015,58.036118
1.6095029,5.239710,8.497022,-0.185551,9.984406,91.064850,58.339832
1.6198530,5.099649,8.219295,-0.227449,9.675483,91.347023,58.182526
1.6294869,5.015852,8.106767,-0.280122,9.537133,91.683113,58.253918
1.6394570,5.424064,8.860941,-0.300472,10.393605,91.656616,58.527870
1.6493800,5.218163,8.350976,-0.311246,9.852152,91.810371,58.000526
1.6594989,5.111620,8.034941,-0.284910,9.527335,91.713654,57.536541
1.6693540,5.146337,8.131907,-0.207098,9.625777,91.232811,57.672028
1.6796379,5.181053,8.246828,-0.140061,9.740282,90.823914,57.860992
1.6894320,5.182250,8.298303,-0.134075,9.784452,90.785141,58.015423
1.6996980,5.193024,8.289924,-0.209493,9.784386,91.226852,57.935902
1.7093899,5.194221,8.251616,-0.223858,9.752908,91.315224,57.810440
1.7200938,5.215768,8.275558,-0.204704,9.784223,91.198822,57.778336
1.7295020,5.279215,8.406042,-0.199916,9.928324,91.153778,57.870102
1.7394190,5.368997,8.605958,-0.264559,10.146853,91.494041,58.041206
1.7495719,5.360618,8.643068,-0.284910,10.174479,91.604630,58.191917
1.7598169,5.246893,8.458714,-0.239420,9.956759,91.377869,58.188904
1.7693709,5.036203,8.143877,-0.185551,9.577083,91.110146,58.267200
1.7794589,4.918888,7.948750,-0.101754,9.348178,90.623665,58.249729
1.7893599,5.050569,8.135497,-0.162806,9.577111,90.974045,58.167725
1.7995319,5.319916,8.632295,-0.114922,10.140574,90.649338,58.355274
1.8094200,5.420473,8.870518,-0.064643,10.395759,90.356285,58.572311
1.8198979,5.225345,8.532935,-0.076614,10.006052,90.438705,58.517792
1.8295110,5.045780,8.058883,-0.171185,9.509721,91.031441,57.948738
1.8413130,5.222951,8.292317,-0.118513,9.800806,90.692848,57.795052
1.8503749,5.398925,8.611943,-0.019154,10.164366,90.107971,57.915936
1.8596530,5.357026,8.554482,0.019154,10.093427,89.891273,57.944195
1.8697689,4.885368,7.772776,-0.032322,9.180627,90.201721,57.849693
1.8796290,5.481525,8.795100,-0.031125,10.363488,90.172073,58.066875
1.8895220,5.093664,8.186973,-0.095768,9.642672,90.569054,58.111488
1.8997489,5.104438,8.171411,-0.154426,9.635927,90.918266,58.008202
1.9094239,5.202600,8.364143,-0.183156,9.851877,91.065247,58.117878
1.9196010,5.157111,8.374918,-0.177171,9.836993,91.031990,58.376053
1.9294599,5.142745,8.449138,-0.174777,9.892740,91.012306,58.672337
1.9397340,5.200206,8.500613,-0.149638,9.966190,90.860298,58.544006
1.9497180,5.094861,8.270770,-0.095768,9.714547,90.564842,58.366596
1.9596180,5.279215,8.593987,-0.016759,10.085981,90.095207,58.437939
1.9696249,5.070919,8.177396,-0.093374,9.622512,90.555992,58.196362
1.9804291,5.246893,8.524555,-0.049081,10.010012,90.280937,58.387562
1.9898770,5.068525,8.257602,-0.107739,9.689661,90.637085,58.458355
1.9997350,5.243302,8.469488,-0.057461,9.961312,90.330505,58.239124
2.0095329,5.190629,8.412027,-0.069432,9.884820,90.402451,58.323399
2.0198219,5.112818,8.309077,-0.043096,9.756205,90.253090,58.394802
2.0296071,5.147533,8.390480,0.032322,9.843694,89.811867,58.471012
2.0397401,5.208586,8.463503,-0.021548,9.937842,90.124229,58.391140
2.0497029,5.218163,8.416816,-0.068235,9.903366,90.394775,58.202381
2.0595880,5.177461,8.384495,-0.047884,9.854347,90.278412,58.304493
2.0696609,5.203797,8.386889,-0.028730,9.870169,90.166779,58.181717
2.0795679,5.231331,8.354567,-0.029928,9.857306,90.173958,57.946674
2.0894089,5.213374,8.289924,-0.051475,9.793097,90.301163,57.834999
2.0994809,5.190629,8.276755,-0.043096,9.769809,90.252739,57.906803
2.1106219,5.203797,8.277952,-0.050278,9.777859,90.294617,57.845161
2.1196890,5.214571,8.295909,-0.076614,9.798965,90.447975,57.847702
2.1294379,5.202600,8.313866,-0.077812,9.807827,90.454567,57.962742
2.1394529,5.203797,8.361750,-0.116119,9.849459,90.675499,58.104610
2.1495779,5.226542,8.355764,-0.199916,9.857764,91.162041,57.973965
2.1595910,5.183447,8.328231,-0.088585,9.809964,90.517395,58.102085
2.1694961,5.155913,8.303091,-0.077812,9.773987,90.456139,58.161243
2.1794980,5.158308,8.305486,-0.177171,9.778580,91.038155,58.156727
2.1895092,5.173870,8.304289,-0.155623,9.785416,90.911247,58.075611
2.1995618,5.190629,8.305486,-0.027533,9.794105,90.161072,57.996101
2.2103119,5.206192,8.315063,-0.014365,9.810449,90.083900,57.948669
2.2197680,5.215768,8.343793,-0.052672,9.840015,90.306702,57.990185
2.2296288,5.210980,8.354567,-0.046687,9.846587,90.271667,58.047039
2.2395499,5.193024,8.362947,-0.029928,9.844149,90.174187,58.161530
2.2494910,5.191826,8.346188,-0.080206,9.829564,90.467522,58.115925
2.2598209,5.193024,8.330625,-0.114922,9.817332,90.670723,58.062012
2.2693717,5.209783,8.339005,-0.061052,9.832830,90.355751,58.004967
2.2797420,5.212177,8.397662,-0.020351,9.883720,90.117973,58.173367
2.2895019,5.234922,8.365341,-0.016759,9.868315,90.097305,57.962200
2.2994549,5.226542,8.325836,-0.019154,9.830395,90.111633,57.881458
2.3094311,5.220557,8.365341,0.010774,9.860693,89.937401,58.032959
2.3196070,5.221754,8.379706,-0.025139,9.873542,90.145882,58.071198
2.3294480,5.200206,8.371326,-0.075417,9.855300,90.438461,58.151756
2.3397059,5.181053,8.377312,-0.101754,9.850533,90.591866,58.264767
2.3500841,5.182250,8.386889,-0.122104,9.859539,90.709587,58.288124
2.3594959,5.188235,8.362947,-0.092177,9.842010,90.536621,58.185211
2.3693819,5.185841,8.312668,-0.063446,9.797828,90.371025,58.042107
2.3797889,5.154716,8.329428,-0.041899,9.795521,90.245071,58.248459
2.3894699,5.177461,8.374918,-0.044293,9.846183,90.257744,58.275211
2.3994370,5.208586,8.336611,-0.083797,9.830334,90.488411,58.003494
2.4096360,5.175067,8.319851,-0.075417,9.798312,90.441010,58.117794
2.4197209,5.191826,8.456321,-0.088585,9.923320,90.511490,58.451820
2.4293308,5.191826,8.464700,-0.144849,9.931122,90.835709,58.477116
2.4394140,5.167884,8.413225,-0.162806,9.875013,90.944656,58.439373
2.4497430,5.155913,8.354567,-0.150835,9.818604,90.880219,58.319725
2.4598551,5.175067,8.403648,-0.106542,9.869852,90.618500,58.374744
2.4696498,5.269638,8.396465,-0.079009,9.913423,90.456642,57.887539
2.4796338,5.279215,8.307879,-0.017957,9.843337,90.104523,57.566216
2.4894409,5.236119,8.248025,0.049081,9.769814,89.712158,57.591267
2.4995251,5.224148,8.287529,0.056264,9.796838,89.670944,57.774204
2.5098670,5.230134,8.340201,-0.014365,9.844463,90.083611,57.908207
2.5195498,5.203797,8.327033,-0.113725,9.819975,90.663551,57.997578
2.5294750,5.163096,8.346188,-0.153229,9.815289,90.894493,58.258350
2.5394969,5.181053,8.376115,-0.153229,9.850182,90.891327,58.261105
2.5494499,5.169082,8.371326,-0.110133,9.839240,90.641342,58.305721
2.5595891,5.130774,8.400057,-0.087388,9.843446,90.508667,58.583317
2.5693860,5.164293,8.422802,-0.092177,9.880385,90.534538,58.486187
2.5797350,5.184644,8.394072,-0.094571,9.866606,90.549187,58.298225
2.5894268,5.165490,8.371326,-0.081403,9.837074,90.474136,58.323521
2.5997088,5.157111,8.365341,-0.095768,9.827710,90.558342,58.346775
2.6103199,5.177461,8.376115,-0.075417,9.847390,90.438812,58.278877
2.6199548,5.189432,8.384495,-0.063446,9.860729,90.368660,58.245312
2.6300988,5.193024,8.364143,-0.046687,9.845231,90.271706,58.165203
2.6402419,5.195418,8.354567,-0.033519,9.838306,90.195206,58.123940
2.6495290,5.206192,8.413225,-0.064643,9.893987,90.374352,58.250343
2.6598279,5.214571,8.404845,-0.105345,9.891627,90.610207,58.183525
2.6694138,5.202600,8.365341,-0.082600,9.851539,90.480400,58.121559
2.6795099,5.184644,8.360553,-0.038307,9.837726,90.223106,58.195637
2.6895528,5.190629,8.379706,-0.008380,9.857088,90.048706,58.224743
2.6999099,5.210980,8.385692,-0.032322,9.872952,90.187576,58.142635
2.7094889,5.200206,8.392874,-0.069432,9.873566,90.402916,58.217735
2.7196968,5.224148,8.416816,-0.104148,9.906835,90.602348,58.172958
2.7295160,5.227739,8.372523,-0.108936,9.871183,90.632317,58.019661
2.7396669,5.209783,8.341399,-0.063446,9.834877,90.369629,58.012360
2.7494750,5.179855,8.378509,-0.067038,9.850625,90.389923,58.274349
2.7603357,5.176264,8.373720,-0.071826,9.844697,90.418030,58.277473
2.7696428,5.155913,8.362947,-0.076614,9.824876,90.446800,58.345390
2.7798510,5.139154,8.366538,-0.099359,9.819355,90.579773,58.439632
2.7901270,5.155913,8.426393,-0.126893,9.879455,90.735931,58.538509
2.7999868,5.173870,8.415619,-0.155623,9.880070,90.902519,58.417057
2.8102009,5.151125,8.378509,-0.104148,9.835871,90.606689,58.416710
2.8196988,5.125986,8.388085,-0.075417,9.830636,90.439560,58.570766
2.8294489,5.154716,8.400057,-0.096965,9.856036,90.563690,58.464535
2.8398640,5.170279,8.364143,-0.111330,9.833772,90.648674,58.277798
2.8497038,5.177461,8.354567,-0.100556,9.829293,90.586159,58.212830
2.8596778,5.158308,8.366538,-0.077812,9.829200,90.453583,58.344498
2.8697867,5.183447,8.352173,-0.080206,9.830226,90.467484,58.175823
2.8795950,5.160702,8.334216,-0.073023,9.802925,90.426804,58.233437
2.8896289,5.175067,8.384495,-0.082600,9.853319,90.480316,58.316341
2.8996580,5.202600,8.397662,-0.111330,9.879280,90.645683,58.220558
2.9101250,5.183447,8.364143,-0.124498,9.840859,90.724876,58.212578
2.9201159,5.197812,8.364143,-0.099359,9.848147,90.578072,58.141533
2.9295130,5.199009,8.366538,-0.061052,9.850502,90.355118,58.142975
2.9398379,5.195418,8.336611,-0.047884,9.823123,90.279297,58.068630
2.9494820,5.179855,8.295909,-0.039504,9.780315,90.231430,58.019894
2.9595780,5.190629,8.330625,-0.046687,9.815504,90.272522,58.073872
2.9693770,5.200206,8.364143,-0.081403,9.849247,90.473549,58.129704
2.9797189,5.193024,8.379706,-0.089783,9.858755,90.521797,58.212914
2.9898250,5.200206,8.356961,-0.086191,9.843189,90.501717,58.107632
2.9995959,5.170279,8.349778,-0.093374,9.821369,90.544731,58.233734
3.0095417,5.129577,8.378509,-0.090980,9.824471,90.530594,58.523769
3.0195198,5.106832,8.361750,-0.092177,9.798321,90.539009,58.586033
3.0295639,5.105635,8.360553,-0.096965,9.796721,90.567108,58.588360
3.0396228,5.114015,8.403648,-0.080206,9.837728,90.467133,58.677525
3.0493779,5.158308,8.459911,-0.090980,9.908911,90.526077,58.627861
3.0594668,5.184644,8.462306,-0.095768,9.924733,90.552879,58.505238
3.0693560,5.199009,8.434772,-0.076614,9.908629,90.443024,58.351231
3.0800419,5.218163,8.425196,-0.061052,9.910442,90.352966,58.227909
3.0894520,5.230134,8.401254,-0.015562,9.896242,90.090103,58.096001
3.0997040,5.232528,8.339005,0.010774,9.844717,89.937294,57.892704
3.1097109,5.225345,8.288726,0.055067,9.798481,89.678001,57.772015
3.1196799,5.220557,8.322245,0.058658,9.824327,89.657906,57.899887
3.1295779,5.236119,8.312668,0.028730,9.824368,89.832443,57.793324
3.1405671,5.227739,8.318654,-0.009577,9.824936,90.055847,57.853279
3.1497390,5.195418,8.348581,-0.043096,9.833261,90.251106,58.105522
3.1596920,5.165490,8.395268,-0.096965,9.857597,90.563606,58.396599
3.1695578,5.145139,8.409634,-0.148441,9.859839,90.862625,58.541084
3.1802270,5.120000,8.383297,-0.142455,9.824173,90.830841,58.585991
3.1916389,5.093664,8.367735,-0.107739,9.796735,90.630119,58.670006
3.1998799,5.121197,8.380903,-0.065841,9.821941,90.384079,58.572754
3.2101350,5.137957,8.388085,-0.038307,9.836668,90.223129,58.511269
3.2199700,5.158308,8.401254,-0.043096,9.858552,90.250465,58.450382
3.2297330,5.182250,8.384495,-0.075417,9.857036,90.438377,58.280811
3.2397099,5.199009,8.354567,-0.059855,9.840328,90.348511,58.106182
3.2496049,5.202600,8.346188,-0.001197,9.834932,90.006973,58.062630
3.2595809,5.206192,8.373720,0.022745,9.860230,89.867836,58.129551
3.2696900,5.214571,8.370130,0.008380,9.861587,89.951317,58.077190
3.2802460,5.220557,8.380903,-0.013168,9.873901,90.076408,58.080769
3.2896068,5.227739,8.365341,-0.034716,9.864552,90.201637,57.997566
3.2998028,5.232528,8.366538,-0.033519,9.868102,90.194618,57.977673
3.3113608,5.220557,8.373720,-0.039504,9.867875,90.229378,58.058716
3.3195210,5.203797,8.367735,-0.069432,9.854101,90.403709,58.122997
3.3297009,5.176264,8.352173,-0.073023,9.826385,90.425789,58.211411
3.3398669,5.163096,8.343793,-0.058658,9.812231,90.342522,58.250992
3.3514550,5.204995,8.376115,-0.034716,9.861668,90.201698,58.142803
3.3608339,5.209783,8.395268,-0.062249,9.880599,90.360977,58.177841
3.3704958,5.206192,8.390480,-0.051475,9.874575,90.298683,58.180901
3.3802290,5.194221,8.384495,-0.052672,9.863187,90.305977,58.221657
3.3895438,5.170279,8.373720,-0.067038,9.841517,90.390289,58.307114
3.3996229,5.166687,8.366538,-0.068235,9.833528,90.397575,58.302933
3.4097228,5.155913,8.386889,-0.058658,9.845140,90.341377,58.418514
3.4197340,5.178658,8.409634,-0.057461,9.876424,90.333351,58.375210
3.4294620,5.181053,8.384495,-0.045490,9.856223,90.264442,58.286728
3.4397538,5.165490,8.379706,-0.005986,9.843872,90.034836,58.349136
3.4500690,5.177461,8.367735,0.023942,9.840003,89.860588,58.253220
3.4599109,5.177461,8.384495,0.026336,9.854265,89.846870,58.304493
3.4694908,5.169082,8.383297,0.026336,9.848846,89.846786,58.342312
3.4795859,5.158308,8.367735,-0.034716,9.829971,90.202347,58.348156
3.4896131,5.165490,8.361750,-0.050278,9.828716,90.293091,58.294205
3.4994791,5.155913,8.355764,-0.046687,9.818576,90.272438,58.323395
3.5106370,5.160702,8.360553,-0.020351,9.825075,90.118675,58.314293
3.5204549,5.176264,8.366538,-0.020351,9.838348,90.118515,58.255478
