Keuwl Accelerometer Data File
2019-06-26 17-08-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8404419,3.988740,8.938752,-1.096544,9.849556,96.391953,65.952133
0.8500380,4.013879,8.898050,-1.064223,9.819323,96.221962,65.720032
0.8601280,4.024653,8.886080,-0.993594,9.805482,95.815788,65.633438
0.8699150,4.034230,8.919599,-0.969652,9.837401,95.656708,65.663315
0.8800030,4.054581,8.963891,-0.984017,9.887328,95.711708,65.661629
0.8911930,4.106056,8.954314,-0.984017,9.899885,95.704437,65.365883
0.9008260,4.171896,8.899248,-0.966060,9.875961,95.613617,64.883194
0.9098010,4.165911,8.844181,-0.931344,9.820476,95.441940,64.777969
0.9197310,4.098873,8.807071,-0.936133,9.759180,95.504463,65.042397
0.9300100,4.001908,8.756793,-0.948104,9.674482,95.624039,65.439308
0.9402789,4.005499,8.779537,-1.015141,9.703340,96.005142,65.476044
0.9497710,4.072537,8.875306,-1.124078,9.829556,96.566536,65.351425
0.9597650,4.067749,8.900445,-1.168370,9.855434,96.808479,65.438293
0.9698629,4.065354,8.999804,-1.242591,9.953272,97.171654,65.690552
0.9802910,4.028244,9.006987,-1.242591,9.944676,97.177887,65.904114
0.9909589,4.073734,9.056067,-1.289278,10.013486,97.397606,65.780128
1.0000880,4.022259,8.956709,-1.203086,9.891846,96.985840,65.816216
1.0104620,3.989937,8.845378,-1.005565,9.755587,95.916313,65.721008
1.0201401,4.042610,8.778340,-0.910994,9.707310,95.384911,65.272942
1.0300590,4.125209,8.793902,-0.896629,9.754691,95.273941,64.868782
1.0406530,4.204218,8.829816,-0.943315,9.825016,95.509544,64.539063
1.0498680,4.213795,8.871715,-0.969652,9.869328,95.638351,64.593704
1.0599999,4.193444,8.883685,-1.017536,9.876245,95.913597,64.730873
1.0699500,4.185065,8.917204,-1.074997,9.908931,96.228142,64.858170
1.0798749,4.110844,8.932767,-1.128866,9.897863,96.548920,65.288193
1.0902920,4.016273,8.960299,-1.155202,9.886957,96.709824,65.856651
1.0999449,3.942053,8.949526,-1.248576,9.858638,97.275932,66.227654
1.1105219,3.883395,8.936357,-1.278504,9.827198,97.475281,66.512100
1.1200520,3.916914,8.990228,-1.312023,9.893827,97.620453,66.457932
1.1302480,3.933673,9.052477,-1.278504,9.952673,97.380516,66.513069
1.1402450,4.058172,9.142260,-1.276109,10.083557,97.270477,66.063972
1.1497279,4.179079,9.192537,-1.284489,10.179260,97.249306,65.552673
1.1597159,4.082114,9.169792,-1.181539,10.106669,96.713623,66.002823
1.1697730,3.969586,9.058462,-1.148020,9.956470,96.621155,66.336075
1.1798670,3.903746,8.896853,-1.064223,9.773730,96.251106,66.309174
1.1900690,3.861847,8.771158,-0.968455,9.632497,95.770287,66.236618
1.1997149,3.833117,8.688558,-0.930147,9.541960,95.594055,66.194443
1.2105529,3.791218,8.626308,-0.903811,9.465908,95.478989,66.274757
1.2200680,3.830723,8.628703,-0.882263,9.481949,95.338898,66.061119
1.2298770,3.946841,8.807071,-0.962469,9.698887,95.695122,65.860718
1.2405140,4.066552,8.983045,-1.017536,9.912987,95.891602,65.644119
1.2504430,4.133589,9.026140,-1.034295,9.981359,95.947815,65.394226
1.2598699,4.119224,8.890868,-0.964863,9.846142,95.623672,65.141258
1.2702810,4.036624,8.757990,-0.930147,9.688234,95.509338,65.254669
1.2798450,3.925294,8.706514,-0.920571,9.594727,95.505737,65.731979
1.2898901,3.855862,8.809465,-0.982820,9.666451,95.835533,66.361229
1.2998210,3.842694,8.932767,-1.127669,9.789395,96.614754,66.723610
1.3110549,3.883395,8.985439,-1.235408,9.866363,97.193123,66.626602
1.3198919,3.988740,9.076419,-1.244985,9.992067,97.157501,66.276344
1.3297340,3.960010,9.001001,-1.229423,9.910156,97.126289,66.252808
1.3397040,3.855862,8.862138,-1.188721,9.737464,97.011993,66.486435
1.3496629,3.821146,8.866926,-1.168370,9.725669,96.899757,66.686676
1.3597549,3.812766,8.899248,-1.151611,9.749872,96.783356,66.807922
1.3697450,3.866636,8.963891,-1.157596,9.830679,96.762466,66.666718
1.3796639,3.988740,9.016563,-1.145625,9.925771,96.627808,66.136398
1.3898100,4.097676,9.017760,-1.101333,9.966137,96.344574,65.562920
1.3997030,4.140772,8.990228,-1.067814,9.955421,96.157364,65.269867
1.4101681,4.121618,8.986636,-1.049857,9.942312,96.061440,65.361984
1.4201980,4.092888,8.985439,-1.034295,9.927719,95.980072,65.510628
1.4298760,4.068946,8.967483,-1.052252,9.903499,96.099220,65.594086
1.4405539,4.006697,8.973468,-1.051055,9.883393,96.104691,65.939003
1.4506481,3.992331,8.977059,-1.072602,9.883157,96.230484,66.024040
1.4602820,3.985149,8.954314,-1.121683,9.865055,96.528809,66.008377
1.4698520,3.979163,8.943541,-1.120486,9.852723,96.530006,66.014748
1.4799459,4.001908,8.933964,-1.110910,9.852162,96.474327,65.870331
1.4898399,4.040215,8.919599,-1.080982,9.851452,96.299644,65.631409
1.5004400,4.050989,8.920795,-1.034295,9.851948,96.026237,65.576904
1.5108089,4.005499,8.866926,-1.035492,9.784614,96.074905,65.689651
1.5201209,4.005499,8.866926,-1.035492,9.784614,96.074905,65.689651
1.5307089,3.945644,8.871715,-1.059434,9.767181,96.227058,66.023170
1.5406129,3.932476,8.844181,-1.072602,9.738295,96.323547,66.028160
1.5503470,3.958812,8.851364,-1.092953,9.757735,96.431129,65.903206
1.5601549,3.983952,8.877700,-1.091756,9.791698,96.401680,65.831390
1.5699239,4.054581,8.949526,-1.104924,9.887087,96.416451,65.627106
1.5800040,4.102465,9.006987,-1.088165,9.956914,96.274239,65.511879
1.5899060,4.118027,9.034520,-1.069011,9.986164,96.145241,65.496017
1.6000459,4.114436,9.029732,-1.051055,9.978444,96.046326,65.503418
1.6109799,4.102465,8.972271,-1.007959,9.917048,95.833557,65.428314
1.6200669,4.089296,8.910022,-0.950498,9.849583,95.537735,65.347023
1.6304060,4.098873,8.878897,-0.932542,9.823707,95.447159,65.219963
1.6398070,4.106056,8.872911,-0.961272,9.824067,95.615303,65.167046
1.6505419,4.090494,8.892065,-1.033098,9.842167,96.025238,65.296806
1.6601540,4.031836,8.902839,-1.103727,9.835367,96.443314,65.635620
1.6699799,3.983952,8.899248,-1.145625,9.817380,96.701317,65.883232
1.6799989,3.957615,8.884883,-1.186327,9.798532,96.953972,65.990257
1.6905890,3.945644,8.871715,-1.146823,9.777046,96.736153,66.023170
1.7001770,3.960010,8.834604,-1.083376,9.741951,96.384918,65.856239
1.7112349,3.979163,8.856153,-1.022324,9.762700,96.010880,65.805115
1.7203150,4.025850,8.896853,-1.036689,9.820193,96.059837,65.653122
1.7302699,4.046201,8.911219,-1.052252,9.843210,96.136719,65.579247
1.7400000,4.048595,8.919599,-1.045069,9.851017,96.089821,65.586761
1.7500730,4.011485,8.896853,-1.046266,9.815329,96.119080,65.729950
1.7600390,4.011485,8.882488,-1.016339,9.799161,95.953247,65.695244
1.7700610,4.025850,8.912416,-1.000776,9.830574,95.842972,65.690704
1.7798890,4.094085,8.939949,-1.000776,9.883612,95.811508,65.394402
1.7899650,4.129998,8.916007,-0.957681,9.872650,95.566643,65.145882
1.8001570,4.078523,8.839393,-0.961272,9.782292,95.639359,65.231255
1.8099270,4.041412,8.787917,-1.013944,9.725666,95.984215,65.303108
1.8198489,3.845088,8.889671,-0.851139,9.722931,95.022064,66.609863
1.8307540,4.040215,8.919599,-1.217452,9.867359,97.087311,65.631409
1.8397180,4.223372,8.917204,-1.254562,9.946221,97.246277,64.656799
1.8497679,4.194642,8.926781,-1.090559,9.923293,96.309486,64.831444
1.8596889,4.068946,8.912416,-1.003170,9.848544,95.846275,65.461021
1.8702999,3.981557,8.863335,-0.993594,9.767227,95.838646,65.809593
1.8796980,3.999514,8.836999,-1.027112,9.754159,96.044449,65.649094
1.8898329,4.043807,8.833407,-1.025915,9.769031,96.028152,65.402374
1.8996650,4.094085,8.848969,-0.979228,9.799218,95.735100,65.171799
1.9098020,4.128801,8.882488,-0.957681,9.841887,95.584091,65.069824
1.9197369,4.131195,8.887277,-0.976834,9.849094,95.691963,65.068932
1.9299289,4.122815,8.905233,-1.030704,9.867276,95.995872,65.157494
1.9399239,4.091691,8.920795,-1.066617,9.872193,96.202492,65.360558
1.9505930,4.062960,8.916007,-1.083376,9.857816,96.309563,65.501587
1.9598429,4.028244,8.887277,-1.082179,9.817410,96.328613,65.617126
1.9699470,4.041412,8.869320,-1.071405,9.805394,96.273056,65.503044
1.9810969,4.068946,8.864532,-1.043872,9.809481,96.108673,65.344200
1.9900290,4.095282,8.875306,-1.022324,9.827895,95.970863,65.230255
1.9999110,4.119224,8.893262,-1.001973,9.852009,95.837212,65.147141
2.0100050,4.118027,8.911219,-0.992397,9.866753,95.772560,65.197533
2.0209200,4.050989,8.856153,-1.009156,9.790830,95.916069,65.419655
2.0299859,4.050989,8.856153,-1.015141,9.791449,95.950912,65.419655
