Keuwl Accelerometer Data File
2019-06-26 17-45-19

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8502360,19.624075,-0.454898,-10.292673,22.164169,117.670326,358.672089
0.8606020,20.728998,0.472855,-9.782708,22.926325,115.258438,1.306763
0.8702380,21.006725,0.961272,-9.196129,22.951586,113.620392,2.620039
0.8801690,20.944477,0.920571,-10.688913,23.532349,117.014893,2.516696
0.8901120,20.854694,0.702698,-10.429143,23.327646,116.556000,1.929849
0.9000819,21.413740,0.772130,-9.136273,23.294119,113.092316,2.065059
0.9106250,23.038206,1.877054,-8.918402,24.775394,111.098358,4.657925
0.9203730,24.281994,4.104859,-9.464279,26.382526,111.022400,9.595107
0.9301870,22.449232,7.611167,-7.796718,24.953691,108.206787,18.728668
0.9400490,18.041508,11.043256,-4.209007,21.567690,101.253685,31.470913
0.9524440,12.855666,13.628993,-1.830367,18.824661,95.579819,46.672508
0.9702640,-1.102530,17.987637,-7.751228,19.617651,113.273148,93.507484
0.9806190,-10.528502,15.783774,-12.460623,22.698988,123.295052,123.705109
0.9902120,-17.742231,9.326612,-19.616892,28.046299,134.382629,152.270309
1.0002760,-15.776592,3.673903,-20.576967,26.187975,141.789276,166.891129
1.0102980,-7.356185,0.318429,-12.427104,14.444645,149.353210,177.521378
1.0201429,-0.521936,2.711433,2.954445,4.043889,43.063698,100.895851
1.0302449,-2.466028,8.526949,13.201628,15.908272,33.915710,106.130081
1.0400270,-10.569203,8.116343,21.623232,25.399748,31.644817,142.478485
1.0500660,-12.033257,0.877475,13.716381,18.267687,41.335518,175.829330
1.0601720,-1.461660,-4.479551,4.988319,6.861936,43.368267,251.928696
1.0707239,7.566875,-7.425617,3.728969,11.238442,70.621643,315.539825
1.0800281,11.550826,-7.989451,3.681085,14.519067,75.313232,325.329254
1.0901890,12.731168,-5.486313,2.595315,14.103827,79.396294,336.687073
1.1000999,11.001357,-1.963245,1.261744,11.246163,83.558235,349.881805
1.1101120,6.672640,-0.496797,0.773327,6.735649,83.407272,355.742035
1.1201780,2.663549,-1.945289,0.816423,3.397821,76.097031,323.857971
1.1302609,0.186748,-4.802769,1.009156,4.911197,78.142365,272.226715
1.1401141,-0.530316,-6.795941,2.260126,7.181520,71.656441,265.538025
1.1502010,0.632069,-6.712144,3.840300,7.758885,60.333210,275.379578
1.1601540,2.995146,-5.268441,4.118027,7.327040,55.803600,299.618530
1.1704730,5.064934,-4.228160,3.666720,7.548227,60.936913,320.145172
1.1801929,6.013038,-4.320337,3.764882,8.306399,63.047558,324.302948
1.1905149,6.011840,-5.227739,3.626019,8.753256,65.528030,318.990631
1.2005500,5.341464,-6.240487,3.414132,8.895573,67.430664,310.561432
1.2101600,4.430470,-6.763620,3.010709,8.627862,69.576782,303.226563
1.2200220,3.926491,-6.827066,2.894590,8.390758,69.819817,299.904755
1.2301419,4.528633,-6.579266,0.584185,8.008529,85.816818,304.540375
1.2401400,6.014235,-5.523423,1.341950,8.275268,80.667480,317.435883
