Keuwl Accelerometer Data File
2019-06-27 16-05-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8603560,0.718261,8.155849,5.814319,10.041916,54.619415,84.967125
0.8700910,0.705092,8.157045,5.758055,10.009482,54.882156,85.059654
0.8806019,0.670376,8.100781,5.674258,9.913086,55.082188,85.269295
0.8907650,0.620098,8.049306,5.592855,9.821196,55.286877,85.594780
0.9008570,0.580594,7.972692,5.522226,9.715755,55.362770,85.834915
0.9101300,0.566229,7.941567,5.492299,9.672355,55.400631,85.921745
0.9204000,0.575805,7.990648,5.451597,9.690301,55.765392,85.878395
0.9300930,0.628478,8.076839,5.414487,9.744075,56.243145,85.550644
0.9400010,0.676362,8.145074,5.415684,9.804557,56.470657,85.253082
0.9502510,0.671574,8.152257,5.432444,9.819458,56.410938,85.290672
0.9601290,0.629675,8.105570,5.494693,9.812666,55.947021,85.557945
0.9712220,0.575805,8.031349,5.525817,9.765694,55.539379,85.899208
0.9804810,0.547075,8.005013,5.572505,9.768948,55.219757,86.090393
0.9912010,0.581791,8.010999,5.554548,9.765633,55.334438,85.846245
1.0010430,0.628478,8.051701,5.543774,9.795830,55.532963,85.536812
1.0108730,0.685939,8.078036,5.512650,9.803800,55.785183,85.146423
1.0200189,0.733823,8.095993,5.499481,9.814677,55.921215,84.820847
1.0299560,0.760159,8.147469,5.519832,9.870543,55.997940,84.669731
1.0399129,0.775721,8.170214,5.547365,9.905928,55.943886,84.576309
1.0500699,0.778116,8.184579,5.588067,9.940789,55.796417,84.569160
1.0600339,0.719458,8.131907,5.637148,9.920835,55.374290,84.944008
1.0700679,0.641646,8.062474,5.670667,9.877837,54.964783,85.449745
1.0804160,0.610521,8.049306,5.688623,9.875449,54.827717,85.662552
1.0900860,0.667982,8.070854,5.692214,9.898797,54.897491,85.268715
1.1002150,0.744597,8.119935,5.697003,9.947040,55.058937,84.760643
1.1100029,0.791284,8.176199,5.689820,9.992517,55.291039,84.472191
1.1200120,0.798466,8.201338,5.667076,10.000762,55.482048,84.439316
1.1301301,0.786495,8.200141,5.650316,9.989342,55.553638,84.521385
1.1400850,0.718261,8.147469,5.655105,9.943709,55.339558,84.961975
1.1502169,0.647632,8.107965,5.641936,9.898988,55.253204,85.433136
1.1603739,0.574608,8.067263,5.651513,9.866636,55.054970,85.925865
1.1700540,0.537498,8.033744,5.633556,9.826845,55.020569,86.172325
1.1805301,0.549469,8.049306,5.631162,9.838863,55.086529,86.094879
1.1903750,0.626084,8.106767,5.652710,9.902766,55.192478,85.583824
1.2001500,0.724246,8.142680,5.675455,9.951812,55.229294,84.917236
1.2102460,0.788889,8.158242,5.692214,9.979006,55.220551,84.476761
1.2201030,0.773327,8.137892,5.702989,9.967317,55.098392,84.571602
1.2301710,0.736217,8.147469,5.679047,9.958656,55.231480,84.836693
1.2404879,0.700304,8.149862,5.670667,9.953248,55.268581,85.088737
1.2500650,0.682347,8.124723,5.662287,9.926642,55.220963,85.199333
1.2602620,0.682347,8.090008,5.669470,9.902359,55.072651,85.178825
1.2701210,0.663194,8.081628,5.643134,9.879144,55.164875,85.308708
1.2804589,0.664391,8.088810,5.625177,9.874861,55.274445,85.304436
1.2915000,0.653617,8.129512,5.600038,9.893260,55.525063,85.403275
1.3012559,0.642843,8.159439,5.573701,9.902315,55.745590,85.495247
1.3101361,0.617704,8.159439,5.566519,9.896673,55.773655,85.670723
1.3201660,0.614113,8.147469,5.560534,9.883214,55.762539,85.689499
1.3312199,0.605733,8.095993,5.568913,9.845040,55.552094,85.721169
1.3400700,0.611719,8.044518,5.541380,9.787510,55.516529,85.651505
1.3504440,0.618901,8.037335,5.536592,9.779348,55.517715,85.596725
1.3599769,0.636858,8.072051,5.510255,9.794208,55.763962,85.488899
1.3699690,0.671574,8.152257,5.494693,9.854033,56.109428,85.290672
1.3809969,0.737414,8.240842,5.495890,9.932777,56.405712,84.886627
1.3899279,0.782904,8.282741,5.541380,9.996181,56.334064,84.600311
1.3998851,0.770933,8.271967,5.584476,10.010302,56.091183,84.675514
1.4100939,0.763750,8.191761,5.640739,9.975280,55.564938,84.673485
1.4198730,0.742203,8.090008,5.679047,9.912148,55.044636,84.758179
1.4300050,0.731429,8.014590,5.717354,9.872020,54.609406,84.785507
1.4400600,0.766145,7.997831,5.724536,9.865221,54.530148,84.528099
1.4502429,0.840365,8.062474,5.711368,9.916121,54.832546,84.049454
1.4613739,0.937330,8.159439,5.683835,9.988044,55.315025,83.446770
1.4716910,1.024718,8.274361,5.669470,10.082558,55.784664,82.940285
1.4812920,1.074997,8.325836,5.671864,10.131397,55.955933,82.642914
1.4903820,1.030704,8.265982,5.724536,10.107379,55.502380,82.892349
1.5000120,0.913388,8.129512,5.774815,10.013577,54.781338,83.589439
1.5100189,0.766145,7.973889,5.809530,9.895480,54.049274,84.511772
