Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8599780,5.942409,7.829040,0.244209,9.831873,88.576714,52.800724
0.8707630,5.866991,7.845799,0.228646,9.799512,88.663033,53.211315
0.8813379,5.908890,7.898471,0.146046,9.865199,89.151749,53.199635
0.8904769,5.920861,7.948750,0.113725,9.912222,89.342621,53.318329
0.9001920,5.908890,7.977480,0.106542,9.928067,89.385124,53.472790
0.9104440,5.914876,7.977480,0.088585,9.931455,89.488930,53.445038
0.9200320,5.919664,7.941567,0.100556,9.905605,89.418350,53.299061
0.9306080,5.914876,7.875727,0.156820,9.850757,89.087837,53.092499
0.9400110,5.906496,7.814674,0.209493,9.797944,88.774849,52.917244
0.9501290,5.904101,7.751228,0.252588,9.746986,88.515045,52.703518
0.9602680,5.983110,7.710526,0.266953,9.763251,88.433182,52.189735
0.9705100,6.016629,7.686584,0.328006,9.766831,88.075439,51.948147
0.9811450,6.002264,7.712921,0.341174,9.779198,88.000679,52.109627
0.9903730,6.030994,7.769185,0.296881,9.839779,88.271034,52.178841
1.0001420,6.020220,7.819463,0.245406,9.871539,88.575485,52.407253
1.0100149,5.963956,7.849391,0.232238,9.860813,88.650467,52.772480
1.0202360,5.960365,7.876924,0.248997,9.880986,88.556015,52.885681
1.0302960,5.993884,7.908048,0.247800,9.925989,88.569473,52.839790
1.0398610,5.983110,7.921216,0.263362,9.930389,88.480293,52.935261
1.0508140,5.975927,7.959524,0.215478,9.955508,88.759789,53.101158
1.0601070,5.968745,7.951144,0.203507,9.944245,88.827370,53.105267
1.0709050,5.928043,7.930793,0.183156,9.903168,88.940269,53.222927
1.0799730,5.887342,7.881712,0.142455,9.838825,89.170395,53.241653
1.0901650,5.905299,7.827842,0.101754,9.806020,89.405449,52.969215
1.1006000,5.923255,7.772776,0.116119,9.773150,89.319229,52.690735
1.1102300,5.910087,7.756016,0.191536,9.753031,88.874718,52.692589
1.1211680,5.938818,7.830236,0.265756,9.831215,88.450996,52.821617
